project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004331,2049571,Cam1,,,,
2004331,2050310,CT-K1-2,,,,
2004331,2050346,CT-K1-4,,,,
2004331,2050349,CT-K1-5,,,,
2004331,2050350,CT-K1-6,,,,
2004331,2050351,CT-K1-8,,,,
2004331,2050356,CT-K1-11,,,,
2004331,2050357,CT-K1-17,,,,
2004331,2050358,CT-K1-18,,,,
2004331,2050359,CT-K1-19,,,,
2004331,2050360,CT-K1-20,,,,
2004331,2050361,CT-K1-21,,,,
2004331,2050362,CT-K1-22,,,,
2004331,2050363,CT-K1-23,,,,
2004331,2050478,CT-K1-30-92,,,,
2004331,2050526,-77.2787,,,,
2004331,2050534,CT-K1-33-123,,,,
2004331,2050546,CT-K1-33-108,,,,
2004331,2050547,CT-K1-34-93,,,,
2004331,2050550,CT-K1-35-107,,,,
2004331,2050563,CT-K1-39-39,,,,
2004331,2050584,CT-K1-41-24,,,,
2004331,2050600,CT-K1-43-40,,,,
2004331,2050802,CT-K1-45-23,,,,
2004331,2050803,CT-K1-46,,,,
2004331,2050948,CT-K1-44,,,,
2004331,2050952,CT-K1-36,,,,
2004331,2050953,CT-K1-37,,,,
2004331,2050954,CT-K1-38-41,,,,
2004331,2050955,CT-K1-40,,,,
2004331,2050956,CT-K1-42,,,,
2004331,2085517,CT-k2-31-124,,,,
2004331,2085519,CT-K2-30-92,,,,
2004331,2085521,CT-K2-8,,,,
2004331,2085523,CT-K2-22,,,,
2004331,2085525,CT-K2-23,,,,
2004331,2085526,CT-K2-33-123,,,,
2004331,2085527,CT-K2-33-108,,,,
2004331,2085529,CT-K2-2,,,,
2004331,2085551,CT-K2-34-93,,,,
2004331,2085552,CT-K2-5,,,,
2004331,2085553,CT-K2-35-107,,,,
2004331,2085554,CT-K2-39-39,,,,
2004331,2085555,CT-K2-41-24,,,,
2004331,2085556,CT-K2-43-40,,,,
2004331,2085557,CT-K2-45-23,,,,
2004331,2085558,CT-K2-46,,,,
2004331,2085559,CT-K2-44,,,,
2004331,2085560,CT-K2-36,,,,
2004331,2085569,CT-K2-25,,,,
2004331,2085585,CT-K2-37,,,,
2004331,2085587,CT-K2-38-41,,,,
2004331,2085589,CT-K2-42,,,,
2004331,2085607,CT-K2-40,,,,
2004331,2085608,CT-K2-11,,,,
2004331,2085609,CT-K2-34,,,,