"project_id","deployment_id","placename","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","camera_name","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","plot_treatment","plot_treatment_description","detection_distance","subproject_name","subproject_design","event_name","event_description","event_type","recorded_by","remarks","project_code","location_name","check","setup_by","camera_brand","camera_serial","longitude","latitude","elevation","trail_wide","dist_target","camera_height","canopy_cov","canopy_height","ecosystem_short","ecosystem_detail","photo","observations","others","start_date","end_date","cam_days","Problem1_from","Problem1_to","No_spp","events"
2007837,"FAZ001","FAZ001","None",NA,"None",NA,2115349,"CTMEFA01",30,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",NA,"-71.730757","4.410634",148,"2.6","40",60,60,"12 a 15","Bosque de galería","En buen estado, denso en algunas partes, posiblemente inundable",NA,NA,NA,2024-02-21,2024-06-30,130,"","",5,15
2007469,"FAZ002","FAZ002","None",NA,"None",NA,2104538,"FAZ002",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",95,"-71.72565","4.39919",159,"1.5","1",32,40,"10 a 12","Bosque de galería","esta parte es muy delgada, pasa canito y hay moriche",NA,NA,NA,2024-02-21,2024-08-25,186,"","",16,195
2007469,"FAZ003","FAZ003","None",NA,"None",NA,2104543,"FAZ003",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",100,"-71.7347","4.389372",167,"1.5","2",27,60,"10 a 12","Bosque de galería","Conservado, secundario, cano Muco",NA,NA,NA,2024-02-21,2024-08-24,185,"","",9,56
2007837,"FAZ004","FAZ004","None",NA,"None",NA,2115357,"CTMEFA04",30,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",87,"-71.741072","4.377155",170,"2","2",30,60,"12 a 15","Bosque de galería","Cano Muco, bosque alto con palmas palmillo (fruto verde)",NA,NA,NA,2024-02-21,2024-08-24,185,"","",12,21
2007469,"FAZ005","FAZ005","None",NA,"None",NA,2104544,"FAZ005",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",48,"-71.734677","4.365174",170,"1","1.2",25,NA,"8 a 10","Bosque de galería con morichal","No es totalmente morichal, tiene bosque bajo delgado en sucesión. Acá hubo cerca",NA,NA,NA,2024-02-21,2024-08-24,185,"","",7,17
2007469,"FAZ006","FAZ006","None",NA,"None",NA,2104545,"FAZ006",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1.6",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",50,"-71.83111","4.33306",192,"1","1.6",25,60,"10 a 12","Morichal","Con bosque en borde, buen estado",NA,NA,NA,NA,NA,NA,NA,NA,0,0
2007469,"FAZ007","FAZ007","None",NA,"None",NA,2104613,"FAZ007",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",13,"-71.8","4.33694",184,"1.5","1.8",26,60,"8 a 10","Bosque secundario","Cano Muco todavía buen bosque secundario abierto",NA,NA,NA,2024-02-29,2024-06-26,118,"2024-05-14","2024-05-24",5,13
2007469,"FAZ008","FAZ008","None",NA,"None",NA,2104622,"FAZ008",3,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",33,"-71.7867","4.33611",177,"2","1.5",32,60,"12 a 15","Bosque","Bosque aparentemente maduro pero pudo haber entresaca. Hay harta palma",NA,NA,NA,2024-02-29,2024-04-25,56,"","",3,4
2007469,"FAZ009","FAZ009","None",NA,"None",NA,2104626,"FAZ009",4,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",46,"-71.83778","4.34556",177,"1","3.57",37,50,"14","Bosque de galería","",NA,NA,NA,2024-01-03,2024-08-23,233,"2024-03-28","2024-05-22",5,64
2007469,"FAZ010","FAZ010","None",NA,"None",NA,2104634,"FAZ010",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",17,"-71.8425","4.30889",158,"0.4","2.9",34,80,"14","Bosque de galería","Cámara en borde de cano . Zona lata no inundable",NA,NA,NA,2024-01-03,2024-08-26,236,"2024-05-24","2024-05-25",14,182
2007469,"FAZ011","FAZ011","None",NA,"None",NA,2104636,"FAZ011",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",14,"-71.8497","4.29667",171,"1","2.25",33,40,"15","Bosque de tierra firme","",NA,NA,NA,2024-01-03,2024-08-26,236,"","",7,27
2007469,"FAZ012","FAZ012","None",NA,"None",NA,2104648,"FAZ012",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",54,"-71.85139","4.28333",163,"0.53","2.8",33,10,"3","Ecotono morichal sabana","Predio Santa Clara evidencia de uso por danta",NA,NA,NA,2024-01-03,2024-08-26,236,"","",8,33
2007469,"FAZ013","FAZ013","None",NA,"None",NA,2104548,"FAZ013",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"2.8",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",88,"-71.74798","4.32628",186,"0.5","2.8",33,60,"15","Bosque de  tierra firme","Bosque denso cerca de una sabana rocosa de arrecife o ripio",NA,NA,NA,2024-02-22,2024-08-24,184,"","",5,51
2007469,"FAZ014","FAZ014","None",NA,"None",NA,2104549,"FAZ014",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",69,"-71.75612","4.33706",162,"0.6","2.27",20,30,"15","bosque de galería","cerca del ecotono bosque sabana cámara baja",NA,NA,NA,2024-02-22,2024-05-23,91,"","",5,9
2007469,"FAZ015","FAZ015","None",NA,"None",NA,2104550,"FAZ015",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",0,"-71.745877","4.35172",186,"2","1.7",30,60,"12 a 15","Bosque","Igual que la 08, palitos delgados, aunque altos, palmas mas jóvenes",NA,NA,NA,2024-02-22,2024-08-28,188,"","",10,84
2007469,"FAZ017","FAZ017","None",NA,"None",NA,2104649,"FAZ017",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Santa Clara",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",4,"-71.764124","4.35374",162,"1","1.1",23,50,"10 a 12","Bosque de galería","Mucho platanillo, sendero mas bien pequeño, tupido de animales pequeños, poco frecuente,",NA,NA,NA,2024-02-22,2024-08-23,183,"","",12,91
2007469,"FAZ018","FAZ018","None",NA,"None",NA,2104554,"FAZ018",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",49,"-71.775396","4.34523",160,"1","1.3",30,40,"8 a 10","Bosque de galería","Hay mucho saladillo dentro del bosque y ecotono bonito bosque pequeño a 20 m del agua",NA,NA,NA,2024-02-22,2024-08-23,183,"","",2,7
2007469,"FAZ019","FAZ019","None",NA,"None",NA,2104599,"FAZ019",2,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",47,"-71.790916","4.35359",180,"claro bosque","1.5",36,70,"10 a 12","Bosque de galería cano muco","Bosque maduro, amplio, sendas no claras, no hay tanta palma como en otras",NA,NA,NA,2024-02-23,2024-08-28,187,"","",12,92
2007469,"FAZ020","FAZ020","None",NA,"None",NA,2104663,"FAZ020",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",15,"-71.84083","4.32306",172,"0.3","2.3",50,80,"10","Bosque ripario","movida por Diego",NA,NA,NA,2024-02-03,2024-06-17,109,"2024-04-29","2024-05-25",6,13
2007469,"FAZ021","FAZ021","None",NA,"None",NA,2104667,"FAZ021",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",28,"-71.85111","4.31389",174,"0.5","2.8",25,70,"10","Bosque ripario","movida por Diego",NA,NA,NA,2024-02-03,2024-06-26,144,"","",7,24
2007469,"FAZ022","FAZ022","None",NA,"None",NA,2104600,"FAZ022",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",2,"-71.814462","4.33283",166,"1","1.2",30,50,"8 a 10","Bosque cano muco","Bosque mas secundario con algo de restrojo, cerca a la casa y l puente del rio",NA,NA,NA,2024-02-23,2024-08-28,187,"","",11,38
2007469,"FAZ023","FAZ023","None",NA,"None",NA,2104602,"FAZ023",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",NA,"-71.8164","4.34752",160,"0.61","220",37,50,"14","Bosque de galería","Evidencia de uso de la zona por ganado y por personas",NA,NA,NA,2024-02-23,2024-08-24,183,"","",7,59
2007469,"FAZ024","FAZ024","None",NA,"None",NA,2104604,"FAZ024",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",51,"-71.81039","4.397",168,"2","2.13",33,30,"5","Ecotono bosque sabana","Bosque de galería muy delgado evidencia de uso de fauna",NA,NA,NA,2024-02-23,2024-06-01,13,"2024-02-27","2024-05-23",3,3
2007469,"FAZ025","FAZ025","None",NA,"None",NA,2104668,"FAZ025",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",77,"-71.79517","4.40355",170,"0.37","2.43",17,30,"14","Ecotono bosque sabana","Cámara baja y desnivel ángulo en la zona de instalación",NA,NA,NA,2024-02-23,2024-08-28,131,"2024-03-28","2024-05-23",3,14
2007469,"FAZ026","FAZ026","None",NA,"None",NA,2104670,"FAZ026",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",16,"-71.78066","4.40064",157,"0.37","2.2",37,80,"12","Bosque secundario","Cuerpo de agua temporal cercano a bosque joven",NA,NA,NA,2024-02-23,2024-08-24,183,"","",4,21
2007469,"FAZ027","FAZ027","None",NA,"None",NA,2104669,"FAZ027",4,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Guarany",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",94,"-71.77594","4.38071",156,"0.62","2.1",20,60,"15","Bosque de galería","Cámara en camino usado recientemente por pecaríes/Cano",NA,NA,NA,2024-02-22,2024-05-24,92,"","",2,4
2007469,"FAZ028","FAZ028","None",NA,"None",NA,2104672,"FAZ028",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. Poco a Poco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",23,"-71.76687","4.40377",159,"0.4","2.64",10,80,"14","Bosque de galería","Cámara en bajada hacia el cano 1 ángulo allá en la zona",NA,NA,NA,2024-02-22,2024-08-24,163,"2024-05-02","2024-05-23",3,16
2007469,"FAZ029","FAZ029","None",NA,"None",NA,2104673,"FAZ029",5,"Camera Functioning","Knee height",NA,"Parallel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAZ","Fc. San Francisco",1,"Lain Pardo-Diana Stasiukynas","Gardepro A5",72,"-71.86361","4.30972",175,"0.5","1.5",60,80,"7","Bosque ripario","instalada por Diego",NA,NA,NA,2024-02-22,2024-07-06,122,"2024-05-12","2024-05-25",9,53
